k_tidur,l_tanah,l_bangunan,k_mandi,daerah,harga
6,84,142,1,Cimanggis,1117711263
2,129,112,3,Cimanggis,1997377731
5,232,157,5,Cimanggis,2539279883
4,85,66,2,Cimanggis,875122337
2,115,139,2,Cimanggis,1317218467
2,51,57,3,Cimanggis,863961217
4,89,163,3,Cimanggis,1095646994
2,47,60,1,Cimanggis,749562924
4,66,56,1,Cimanggis,712340576
3,231,142,5,Cimanggis,2913022247
3,138,127,3,Cimanggis,1851821228
4,115,145,3,Cimanggis,1429508803
3,48,56,1,Cimanggis,820395028
